Image,Feature Score,Quality Score,Distribution Score,Distinctiveness Score,Total Score,New Score,Good or Bad,Stars
new_images/test_01.png,Error,Error,Error,Error,Error,Error,Error,Error
dataset/test_01.png,68.85,51.09,27.56,87.30,60.16,3.01,Good,3
dataset/test_02.png,68.22,55.17,34.55,87.47,71.25,3.56,Good,4
dataset/test_03.png,49.57,28.33,28.25,89.16,47.76,2.39,Bad,1
dataset/test_04.png,69.29,84.10,36.16,91.43,76.32,3.82,Good,5
dataset/test_05.png,64.32,66.29,31.36,90.63,71.75,3.59,Good,4
dataset/test_09.png,68.85,51.09,27.56,87.30,60.16,3.01,Good,3
dataset/test_10.png,69.59,42.90,29.28,84.97,56.71,2.84,Good,3
dataset/test_11.png,69.59,42.90,29.28,84.97,56.71,2.84,Good,3
dataset/test_12.png,67.82,49.87,46.30,89.23,72.44,3.62,Good,4
dataset/test_13.png,67.78,49.76,45.97,89.17,72.36,3.62,Good,4
dataset/test_14.png,67.26,30.30,39.69,87.30,55.23,2.76,Bad,2
dataset/test_15.png,68.18,56.78,40.08,86.06,71.38,3.57,Good,4
dataset/test_16.png,71.33,48.21,48.15,87.44,73.14,3.66,Good,4
dataset/test_17.png,64.02,39.61,22.98,84.93,53.33,2.67,Bad,2
dataset/test_18.png,70.45,46.92,53.77,86.92,73.02,3.65,Good,4
dataset/test_19.png,61.10,52.44,37.49,85.79,67.75,3.39,Good,3
dataset/test_20.png,66.41,42.51,30.67,88.16,69.14,3.46,Good,3
dataset/test_21.png,70.50,37.73,56.78,87.13,72.50,3.63,Good,4
dataset/test_22.png,70.49,41.31,55.32,86.87,72.61,3.63,Good,4
dataset/test_23.png,68.92,37.86,31.25,85.09,68.52,3.43,Good,3
dataset/test_24.png,69.25,28.96,41.54,85.75,55.62,2.78,Bad,2
dataset/test_25.png,68.97,47.22,52.72,87.90,72.74,3.64,Good,4
dataset/test_26.png,65.84,41.19,31.61,85.73,67.91,3.40,Good,3
dataset/test_27.png,64.57,41.37,31.06,85.77,67.38,3.37,Good,3
dataset/test_29.png,69.48,47.08,45.35,87.12,71.88,3.59,Good,4
dataset/test_30.png,70.75,40.36,42.19,86.94,71.33,3.57,Good,4
dataset/test_31.png,62.28,38.65,49.73,85.84,68.08,3.40,Good,3
dataset/test_32.png,66.48,61.90,52.80,90.25,74.17,3.71,Good,5
dataset/test_33.png,59.87,62.85,27.75,88.54,63.41,3.17,Good,3
dataset/test_34.png,60.78,62.83,28.40,88.74,63.74,3.19,Good,3
dataset/test_35.png,60.46,62.83,28.35,88.70,63.65,3.18,Good,3
dataset/test_36.png,60.21,62.85,28.14,88.62,63.56,3.18,Good,3
dataset/test_37.png,60.00,62.48,27.38,88.57,63.24,3.16,Good,3
dataset/test_38.png,68.17,38.73,14.51,85.85,52.76,2.64,Bad,2
dataset/test_39.png,54.51,35.86,24.90,86.14,50.51,2.53,Bad,2
dataset/test_40.png,69.31,33.20,50.20,85.86,59.54,2.98,Good,3
dataset/test_41.png,58.11,55.54,28.24,89.60,60.48,3.02,Good,3
dataset/test_42.png,67.31,55.07,17.66,87.58,60.03,3.00,Good,3
dataset/test_43.png,67.41,53.29,68.31,91.20,75.60,3.78,Good,5
dataset/test_44.png,69.20,59.43,47.30,90.08,74.39,3.72,Good,5
dataset/test_45.png,65.51,51.41,35.84,90.11,70.97,3.55,Good,4
dataset/test_46.png,67.80,51.38,17.81,87.10,58.56,2.93,Good,3
dataset/test_47.png,69.79,55.89,68.44,86.28,74.86,3.74,Good,5
dataset/test_49.png,70.47,41.87,47.51,85.67,71.39,3.57,Good,4
dataset/test_50.png,68.02,57.29,-30.54,97.45,56.30,2.82,Good,3
dataset/test_51.png,68.02,57.29,-30.54,97.45,56.30,2.82,Good,3
dataset/test_52.png,66.89,67.29,29.80,94.06,68.28,3.41,Good,3
dataset/test_53.png,43.66,43.97,-0.69,84.88,47.44,2.37,Bad,1
dataset/test_54.png,43.66,43.97,-0.69,84.88,47.44,2.37,Bad,1
dataset/test_55.png,62.95,38.01,31.56,88.62,67.59,3.38,Good,3
dataset/test_56.png,69.41,61.59,58.32,89.27,75.46,3.77,Good,5
dataset/test_57.png,68.42,72.48,43.83,91.41,75.56,3.78,Good,5
dataset/test_58.png,69.23,78.73,53.88,90.98,77.35,3.87,Good,5
dataset/vida.jpg,65.88,66.65,52.79,93.18,75.57,3.78,Good,5
dataset/nothing.png,Error,Error,Error,Error,Error,Error,Error,Error
